,read_name,avg_match,ref_start_primary,ref_start_secondary,ref_name_primary,ref_name_secondary,is_reverse_primary,is_reverse_secondary
391,99e08097-7d92-4ed7-9f08-65747e095106,9095.5,54542,45037,EM11,EM60,True,True
392,55d831a3-1560-42ef-ae1a-dcab89bbfab8,9093.0,48239,45050,EM11,EM60,False,False
393,5eb9327d-a47b-46d3-99e6-76d05296734f,9090.5,55916,44728,EM11,EM60,True,True
394,56c803d6-12e0-479d-877e-9fb573cbcaba,9087.5,52988,43763,EM11,EM60,True,True
395,bee132c3-9356-4536-a2d4-17440b7909ef,9086.5,48769,45580,EM11,EM60,True,True
396,09e97adb-042c-498f-bb34-deb2994f5a79,9086.0,42142,38993,EM11,EM60,False,False
397,a1444d48-41a6-4bc1-b718-f3463fa97c19,9085.0,76517,73366,EM11,EM60,True,True
398,4f3844e1-d47c-4297-9feb-117ea66d0d6c,9084.5,45529,43598,EM11,EM60,False,False
399,eaf1155f-4344-4eff-ac6a-21972a630b35,9074.0,48174,39103,EM11,EM60,True,True
400,3239c7e0-f403-4749-b408-29666ae92aed,9070.5,54116,47180,EM11,EM60,True,True
401,e3d5b239-66f4-41bb-bec8-6f9f20860360,9070.5,43661,46850,EM60,EM11,True,True
402,570c098d-bddd-4557-a2c2-11c7493dc135,9067.5,48168,45031,EM11,EM60,False,False
403,b143be84-7d12-434d-a735-54be0b63c8af,9065.5,42144,49889,EM11,EM60,True,True
404,b5e3e834-a688-4b58-961f-83aa6a210a5d,9064.0,48373,45184,EM11,EM60,False,False
405,db64f92e-7ffc-414f-922a-a9142bbb11ac,9055.0,75245,72892,EM11,EM60,True,True
406,18738240-396c-4146-a894-32f6b175fa31,9047.5,80732,77565,EM11,EM60,True,True
407,d1ccc065-c77c-4942-8c71-a690c0d7baff,9047.0,37521,43973,EM11,EM60,True,True
408,5c886320-0d51-4389-af0c-87c0f9c1c99f,9046.0,77119,73986,EM11,EM60,False,False
409,7ce8035c-f5a5-46f7-8321-595be454333d,9042.0,45620,42431,EM11,EM60,False,False
410,f521596c-5c69-44c4-84ad-60da2d153222,9041.5,27069,38954,EM11,EM60,True,True
411,d7872b6f-d576-4a9c-98ca-7d9d6a64bb63,9041.0,44551,41362,EM11,EM60,True,True
412,51466b8f-e957-42e9-906e-6aeda4ccd756,9031.0,45728,42588,EM11,EM60,False,False
413,ea1da5ef-495f-45e2-9922-bb734f7ee0d8,9030.5,49007,45818,EM11,EM60,True,True
414,4ecff6dd-521d-4ac6-baef-1dafad29936d,9029.0,79712,76545,EM11,EM60,False,False
415,13fa82ab-44fe-4741-aa4a-1392ca32a3a7,9027.5,47720,45027,EM11,EM60,False,False
416,6f4fd4f8-cf7a-4857-b10a-4a84929ca148,9011.5,48673,45484,EM11,EM60,True,True
417,b52f5ef8-8ead-4aa8-8f52-319703c22a74,9007.0,48289,62323,EM11,EM60,False,False
418,d4d9615e-206f-4309-96c3-5247d3fb9dbf,9003.5,44336,41170,EM11,EM60,True,True
