,read_name,avg_match,ref_start_primary,ref_start_secondary,ref_name_primary,ref_name_secondary,is_reverse_primary,is_reverse_secondary
60,00fa0418-ade2-49d7-af39-c4568b19271f,6634.0,49376,46185,EM11,EM60,True,True
61,0173233e-e778-4750-bddc-4d754a35bf30,6620.0,51137,47949,EM11,EM60,True,True
62,0978cd8a-711a-463e-9548-f3a241fbae39,6609.0,48678,45489,EM11,EM60,True,True
63,d2d21b45-d079-4d39-8539-e05fe5ba9afe,6599.0,78105,74938,EM11,EM60,False,False
64,bfd973ba-df76-4398-af7a-6bedd9eb970f,6558.5,48086,44920,EM11,EM60,False,False
65,9862b641-47f8-470d-bfff-0e76580265ef,6558.0,47843,44654,EM11,EM60,True,True
66,168a4101-ff46-44f0-a07c-03c4c5cdae44,6552.0,78897,75730,EM11,EM60,True,True
67,184c35ae-feb7-480d-aa07-0afdeeb83586,6524.0,47228,44039,EM11,EM60,True,True
68,4a93fbb4-90d5-4212-99e9-7ef51f79392e,6506.0,47481,44292,EM11,EM60,True,True
69,38cd9d1b-1ba2-4824-9240-ae0ce1ecdb7f,6467.0,80617,77450,EM11,EM60,True,True
70,d29b566e-73b7-49a7-86e1-bb41f05308e4,6433.0,75227,72892,EM11,EM60,False,False
71,9b804e60-bd5c-4da0-a727-9989378f3b3b,6425.0,76135,72968,EM11,EM60,False,False
72,c4ed0b91-40bf-4615-9139-3b286d48bae2,6423.0,41900,47144,EM11,EM60,True,True
73,43798414-16a2-46be-a69a-d57d928b751c,6418.0,79677,76510,EM11,EM60,True,True
74,a550e62b-5c2b-4d91-97b6-6d5825dac54e,6417.5,51545,48357,EM11,EM60,False,False
75,3a0a6e29-96e7-4cae-8641-0e966a13b27c,6407.5,44382,56508,EM11,EM60,True,True
76,6d774a1c-bce4-4173-b1ee-3d546d0a6960,6337.5,82387,79220,EM11,EM60,False,False
77,423d8db3-84de-4bb8-ac43-fde0621e1b2c,6317.5,51120,47932,EM11,EM60,False,False
78,6423c856-0a3f-428d-a4b0-1fade7cc91f2,6296.5,48115,44926,EM11,EM60,False,False
79,6fbeae9f-6ccc-46d7-9b08-32d4d247148b,6284.5,56419,49316,EM11,EM60,True,True
80,ac682407-04ed-4d8b-b912-ed224418ef4c,6265.0,76135,72968,EM11,EM60,True,True
81,9832c011-48bc-4f69-9eb0-83e03437d3de,6256.0,48170,44989,EM11,EM60,False,False
